Air temperature K,Process temperature K,Rotational speed rpm,Torque Nm,Tool wear min,TWF,HDF,PWF,OSF,RNF,Type_encoded,Failure_Prob,Alert,Step
299.65390088444605,308.9488329634077,1549.6408413980132,36.4149585231346,51.4901424590337,0,0,0,0,0,1,0.001856946336904661,0,0
298.65291580367165,308.63278382375984,1559.3372879519866,37.9105271170662,50.43520709648645,0,0,0,0,0,1,0.0019241050949096602,0,1
298.84190728894714,308.38742147189697,1541.747817545522,39.28997455796092,53.64306561430208,0,0,0,0,0,1,0.001836206970288618,0,2
299.89563204701136,309.1263854543469,1548.8350563638278,40.15151038834024,57.11908956922407,0,0,0,0,0,1,0.001833293495675518,0,3
299.61743271906397,308.75745970188626,1536.2539645856916,36.15940718588845,52.69753987582999,0,0,0,0,0,1,0.0018466935281045282,0,4
299.4480083318237,308.50609851616093,1558.601758231742,38.0309975283181,53.547589129152456,0,0,0,0,0,1,0.0018689283097923345,0,5
299.5572169665327,308.83137084630295,1526.254115469111,37.890109377678094,59.83763844652218,0,0,0,0,0,1,0.0018467546919087566,0,6
299.7297908526808,308.6723807985543,1562.8141064936622,37.673341534852575,58.252304187458726,0,0,0,0,0,1,0.0018497895708728634,0,7
299.29412015984536,309.79485665402905,1534.5976307403348,42.650908480562194,55.39157684219514,0,0,0,0,0,1,0.0019680748982949738,0,8
299.18284763729883,309.48765590277975,1513.1383734682292,40.06996342192191,59.27768013075789,0,0,0,0,0,1,0.0022516503958424417,0,9
299.6779226275488,309.1468109434733,1535.9215662236618,36.878232091329906,57.10974692156261,0,0,0,0,0,1,0.0018433365041858063,0,10
299.0988136111925,309.75697765555606,1523.1842251378769,41.37572389410955,57.952810739289234,0,0,0,0,0,1,0.0020370307876723982,0,11
299.8001263778572,309.21094732305903,1545.4096532348308,43.924312394025264,60.9258868146981,0,0,0,0,0,1,0.0018680294774114767,0,12
298.7527081978811,308.8504863194687,1522.4106403104643,41.88493052110229,55.3101592660266,0,0,0,0,0,1,0.001944161195490316,0,13
300.12657781866284,309.81924963090785,1524.9072485017782,36.921260068091975,56.7252465024609,0,0,0,0,0,1,0.0018967462591301446,0,14
299.8562987412065,309.4405640174739,1502.6568890358171,39.1315318542675,61.06313741227708,0,0,0,0,0,1,0.0021512207460119494,0,15
299.7560148671569,308.82510153826945,1523.615405211264,42.77382229837325,60.56150663899673,0,0,0,0,0,1,0.0018571079125678975,0,16
300.1273454919728,309.17886452876655,1493.4418101005656,38.96466106876244,65.39274199778582,0,0,0,0,0,1,0.0018620235951488122,0,17
300.4767372222313,308.9197526986461,1505.4414576477143,41.40763885629246,62.57592777343636,0,0,0,0,0,1,0.0018795244590654825,0,18
300.1591850325091,308.7318801076143,1540.0062198421645,42.20926810685867,61.91308889599413,0,0,0,0,0,1,0.0018519457279462673,0,19
298.7395628843342,309.67047101901267,1539.7870023797625,38.94613905684383,71.39694630676466,0,0,0,0,0,1,0.0019332303377699873,0,20
299.02821151663215,310.07876665618807,1533.7818634267746,40.820949287876395,67.17267109854039,0,0,0,0,0,1,0.001958396300458415,0,21
299.36359071115214,308.7705729704723,1512.2953578530617,34.597465319861854,68.90258461406377,0,0,0,0,0,1,0.0018797283492522903,0,22
299.69704552510547,309.57018769467624,1525.4843296578704,39.17122471733142,65.27575544135962,0,0,0,0,0,1,0.00196687258136227,0,23
299.95082951023454,309.0997429723513,1525.5459619136413,40.85486369721368,68.76685182642446,0,0,0,0,0,1,0.0018245922168940722,0,24
299.33712809342325,309.18014984649415,1507.6245296621119,39.0044336360703,71.5827677691296,0,0,0,0,0,1,0.0018907098177074894,0,25
299.80138338223855,309.1530424303044,1546.9509745265073,44.904822607863274,68.64701926773309,0,0,0,0,0,1,0.0018686259134555116,0,26
299.33830853382335,309.05940369212806,1536.960434358635,38.91971724407873,74.07709405503702,0,0,0,0,0,1,0.0018423605814347284,0,27
